ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2345	"ENSG00000144354.15"	"CDCA7"	chr2	+	173365451	173366432	173365451	173365592	173366282	173366432	2345	4,7,3	510,674,259	0,0,0	82,34,142	298	149	1	1.0	0.004,0.005,0.006	0.0,0.0,0.0	0.005
2347	"ENSG00000171680.23"	"PLEKHG5"	chr1	-	6474450	6475138	6474450	6474587	6475046	6475138	2347	0,2,0	3,19,37	0,2,2	11,55,96	298	149	1	1.0	0.0,0.05,0.0	0.0,0.018,0.01	0.007
2351	"ENSG00000128191.17"	"DGCR8"	chr22	+	20089668	20090258	20089668	20089811	20089975	20090258	2351	30,119,31	106,219,59	13,70,26	35,67,38	298	149	0.0586471179965	0.22990550275691182	0.124,0.214,0.208	0.157,0.343,0.255	-0.07
2352	"ENSG00000159314.13"	"ARHGAP27"	chr17	-	45396206	45396585	45396206	45396284	45396486	45396585	2352	11,9,12	39,22,17	7,31,3	17,58,12	298	149	0.736422883415	1.0	0.124,0.17,0.261	0.171,0.211,0.111	0.021
2353	"ENSG00000159314.13"	"ARHGAP27"	chr17	-	45403618	45404096	45403618	45403709	45404028	45404096	2353	1,1,2	76,19,8	0,0,0	25,86,12	298	149	1	1.0	0.007,0.026,0.111	0.0,0.0,0.0	0.048
2354	"ENSG00000159314.13"	"ARHGAP27"	chr17	-	45404028	45404528	45404028	45404096	45404444	45404528	2354	3,5,0	81,38,17	9,7,0	26,75,12	298	149	0.0311679766936	0.14249609344605252	0.018,0.062,0.0	0.148,0.045,0.0	-0.038
2355	"ENSG00000159314.13"	"ARHGAP27"	chr17	-	45404600	45405106	45404600	45404681	45404923	45405106	2355	12,3,0	61,32,14	0,6,4	24,64,12	298	149	0.381920561652	0.8889763503307684	0.09,0.045,0.0	0.0,0.045,0.143	-0.018
2356	"ENSG00000159314.13"	"ARHGAP27"	chr17	-	45404600	45405106	45404600	45404681	45405027	45405106	2356	106,56,17	5,3,0	42,135,16	6,2,0	298	149	0.7826862498	1.0	0.914,0.903,1.0	0.778,0.971,1.0	0.023
2357	"ENSG00000145907.16"	"G3BP1"	chr5	+	151794158	151795575	151794158	151794249	151795478	151795575	2357	0,0,0	1233,1453,378	0,2,0	304,659,686	298	149	1	1.0	0.0,0.0,0.0	0.0,0.002,0.0	-0.001
2360	"ENSG00000145907.16"	"G3BP1"	chr5	+	151795478	151797428	151795478	151795575	151797226	151797428	2360	10,2,1	1851,2187,554	0,7,0	480,1043,1108	298	149	1	1.0	0.003,0.0,0.001	0.0,0.003,0.0	0.0
2362	"ENSG00000145907.16"	"G3BP1"	chr5	+	151799888	151800346	151799888	151800000	151800217	151800346	2362	14,12,2	2008,2306,863	2,3,11	524,985,1091	298	149	1	1.0	0.003,0.003,0.001	0.002,0.002,0.005	-0.001
2363	"ENSG00000145907.16"	"G3BP1"	chr5	+	151799888	151800346	151799888	151800043	151800217	151800346	2363	13,13,2	0,2,0	4,3,12	0,1,4	298	149	0.0146200567646	0.08004918804868937	1.0,0.765,1.0	1.0,0.6,0.6	0.188
2365	"ENSG00000145907.16"	"G3BP1"	chr5	+	151803884	151812785	151803884	151803996	151804405	151812785	2365	1122,1321,670	19,9,11	319,680,710	24,7,4	298	149	0.0522372310551	0.2106479300816188	0.967,0.987,0.968	0.869,0.98,0.989	0.028
2366	"ENSG00000145907.16"	"G3BP1"	chr5	+	151803884	151812785	151803884	151804141	151804405	151812785	2366	962,1315,495	2,0,7	301,579,702	0,0,0	298	149	0.920629222133	1.0	0.996,1.0,0.972	1.0,1.0,1.0	-0.011
2368	"ENSG00000065029.15"	"ZNF76"	chr6	+	35286127	35286399	35286127	35286208	35286321	35286399	2368	8,10,0	35,98,57	4,6,13	18,118,81	262	149	0.706691137748	1.0	0.115,0.055,0.0	0.112,0.028,0.084	-0.018
2369	"ENSG00000065029.15"	"ZNF76"	chr6	+	35290640	35291403	35290640	35290716	35291277	35291403	2369	0,9,1	93,143,90	0,16,1	39,185,140	298	149	0.268175979737	0.7006097470629126	0.0,0.031,0.006	0.0,0.041,0.004	-0.003
2370	"ENSG00000197043.15"	"ANXA6"	chr5	-	151138677	151139447	151138677	151138791	151139352	151139447	2370	0,0,4	423,983,953	0,0,0	96,515,881	298	149	1	1.0	0.0,0.0,0.002	0.0,0.0,0.0	0.001
2371	"ENSG00000131469.15"	"RPL27"	chr17	+	42998418	43000102	42998418	42998471	42999932	43000102	2371	28,37,36	18,2,28	17,16,12	4,15,110	298	149	0.0421884500084	0.17900725743123316	0.437,0.902,0.391	0.68,0.348,0.052	0.217
2372	"ENSG00000159348.13"	"CYB5R1"	chr1	-	202965886	202966600	202965886	202965993	202966527	202966600	2372	19,13,21	180,69,290	22,34,30	104,138,427	298	149	0.108030294426	0.35985501080427595	0.05,0.086,0.035	0.096,0.11,0.034	-0.023
2373	"ENSG00000159348.13"	"CYB5R1"	chr1	-	202965886	202966600	202965886	202966109	202966527	202966600	2373	17,24,11	0,0,3	19,49,32	0,0,7	298	149	0.0991088022259	0.3392517025186984	1.0,1.0,0.647	1.0,1.0,0.696	-0.016
2374	"ENSG00000162755.14"	"KLHDC9"	chr1	+	161098360	161099062	161098360	161098404	161098665	161099062	2374	4,10,0	1,6,0	2,21,0	3,6,0	298	149	1	1.0	0.667,0.455,NA	0.25,0.636,NA	0.118
2377	"ENSG00000109065.12"	"NAT9"	chr17	-	74771959	74772277	74771959	74771977	74772217	74772277	2377	246,281,455	20,10,6	456,492,459	26,29,66	298	149	0.000287415844333	0.0033747141272807307	0.86,0.934,0.974	0.898,0.895,0.777	0.066
2378	"ENSG00000109065.12"	"NAT9"	chr17	-	74771959	74772277	74771959	74772039	74772217	74772277	2378	141,166,314	7,3,13	199,312,239	9,15,26	298	149	0.0189867086529	0.09746510441821998	0.91,0.965,0.924	0.917,0.912,0.821	0.05
2379	"ENSG00000109065.12"	"NAT9"	chr17	-	74771959	74772277	74771959	74772054	74772217	74772277	2379	132,159,293	115,115,151	167,286,198	297,216,286	298	149	0.00143606177471	0.0127022876445026	0.365,0.409,0.492	0.219,0.398,0.257	0.131
2381	"ENSG00000124155.19"	"PIGT"	chr20	+	45416516	45418979	45416516	45416694	45418771	45418979	2381	3,8,2	0,4,3	8,1,5	0,4,2	298	149	0.883979876263	1.0	1.0,0.5,0.25	1.0,0.111,0.556	0.028
2382	"ENSG00000124155.19"	"PIGT"	chr20	+	45416516	45418979	45416516	45416654	45418851	45418979	2382	130,106,132	1,0,0	46,78,170	5,0,2	298	149	0.0797588374144	0.290340397335948	0.985,1.0,1.0	0.821,1.0,0.977	0.062
2383	"ENSG00000124155.19"	"PIGT"	chr20	+	45416516	45418979	45416516	45416664	45418851	45418979	2383	111,76,94	0,0,0	36,64,148	0,0,4	298	149	0.430574592864	0.9596749380865813	1.0,1.0,1.0	1.0,1.0,0.949	0.017
2384	"ENSG00000124155.19"	"PIGT"	chr20	+	45416516	45418979	45416516	45416694	45418851	45418979	2384	22,7,6	522,456,572	7,6,7	233,390,881	298	149	0.732690245811	1.0	0.021,0.008,0.005	0.015,0.008,0.004	0.002
2385	"ENSG00000124155.19"	"PIGT"	chr20	+	45418771	45419395	45418771	45418979	45419294	45419395	2385	5,6,12	491,465,667	3,16,5	253,437,906	298	149	0.839642829233	1.0	0.005,0.006,0.009	0.006,0.018,0.003	-0.002
2386	"ENSG00000124155.19"	"PIGT"	chr20	+	45420527	45421583	45420527	45420693	45421382	45421583	2386	5,10,3	780,797,1562	15,12,13	421,718,1595	298	149	0.861478743716	1.0	0.003,0.006,0.001	0.018,0.008,0.004	-0.007
2387	"ENSG00000164620.9"	"RELL2"	chr5	+	141636949	141638409	141636949	141637741	141638169	141638409	2387	22,31,68	14,8,23	35,41,29	12,4,53	298	149	0.827052631576	1.0	0.44,0.66,0.596	0.593,0.837,0.215	0.017
2388	"ENSG00000171720.10"	"HDAC3"	chr5	-	141628113	141628639	141628113	141628187	141628558	141628639	2388	9,22,42	504,935,709	9,25,10	184,571,384	298	149	0.685563989169	1.0	0.009,0.012,0.029	0.024,0.021,0.013	-0.003
2389	"ENSG00000171720.10"	"HDAC3"	chr5	-	141629859	141630125	141629859	141629916	141630043	141630125	2389	71,54,43	237,496,309	29,46,25	69,282,224	276	149	0.601157576176	1.0	0.139,0.056,0.07	0.185,0.081,0.057	-0.019
2390	"ENSG00000168701.19"	"TMEM208"	chr16	+	67228494	67228881	67228494	67228631	67228796	67228881	2390	33,33,65	428,242,818	15,37,20	188,201,333	298	149	0.609363066684	1.0	0.037,0.064,0.038	0.038,0.084,0.029	-0.004
2391	"ENSG00000168701.19"	"TMEM208"	chr16	+	67228494	67228881	67228494	67228657	67228796	67228881	2391	27,30,62	39,32,42	12,33,17	8,18,40	288	149	0.941453507912	1.0	0.264,0.327,0.433	0.437,0.487,0.18	-0.027
2392	"ENSG00000168701.19"	"TMEM208"	chr16	+	67228796	67229278	67228796	67228836	67228975	67229278	2392	76,67,190	7,10,21	40,55,72	0,4,8	288	149	0.0912857489306	0.31980615585600525	0.849,0.776,0.824	1.0,0.877,0.823	-0.084
2393	"ENSG00000168701.19"	"TMEM208"	chr16	+	67228796	67229278	67228796	67228881	67228975	67229278	2393	3,8,38	434,217,841	4,21,13	204,234,311	243	149	0.0802084766411	0.29133158081622557	0.004,0.022,0.027	0.012,0.052,0.025	-0.012
2398	"ENSG00000113108.20"	"APBB3"	chr5	-	140561586	140561849	140561586	140561701	140561843	140561849	2398	46,118,58	3,20,0	175,235,88	7,30,13	291	149	0.553460948595	1.0	0.887,0.751,1.0	0.928,0.8,0.776	0.045
2399	"ENSG00000113108.20"	"APBB3"	chr5	-	140561586	140561849	140561586	140561722	140561843	140561849	2399	48,119,52	0,3,4	165,234,88	2,3,5	270	149	0.765643930779	1.0	1.0,0.956,0.878	0.979,0.977,0.907	-0.01
2400	"ENSG00000113108.20"	"APBB3"	chr5	-	140561586	140562227	140561586	140561701	140562099	140562227	2400	29,86,43	4,2,4	145,198,82	3,3,3	298	149	0.0467051698473	0.19400813028563288	0.784,0.956,0.843	0.96,0.971,0.932	-0.093
2401	"ENSG00000113108.20"	"APBB3"	chr5	-	140561586	140562227	140561586	140561722	140562099	140562227	2401	36,102,50	0,0,0	145,229,89	1,0,6	298	149	0.301875574884	0.7590992885102991	1.0,1.0,1.0	0.986,1.0,0.881	0.044
2403	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41233340	41233867	41233340	41233444	41233528	41233867	2403	2,4,0	965,2017,324	0,4,1	431,1385,475	233	149	1	1.0	0.001,0.001,0.0	0.0,0.002,0.001	-0.0
2404	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41239133	41239900	41239133	41239354	41239640	41239900	2404	439,1162,280	0,0,0	214,1082,293	0,6,0	298	149	1	1.0	1.0,1.0,1.0	1.0,0.989,1.0	0.004
2405	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41239133	41239900	41239133	41239354	41239659	41239900	2405	439,1225,297	295,683,217	228,1175,288	135,306,185	298	149	0.0994516973154	0.33963079638755883	0.427,0.473,0.406	0.458,0.658,0.438	-0.083
2407	"ENSG00000168036.18"	"CTNNB1"	chr3	+	41239133	41239904	41239133	41239354	41239818	41239904	2407	772,2268,745	347,700,339	472,2021,485	189,526,251	298	149	0.738982643356	1.0	0.527,0.618,0.524	0.555,0.658,0.491	-0.012
2410	"ENSG00000111642.16"	"CHD4"	chr12	-	6578028	6578546	6578028	6578117	6578408	6578546	2410	55,131,125	5,10,12	64,193,51	7,21,2	298	149	0.840648477003	1.0	0.846,0.868,0.839	0.821,0.821,0.927	-0.005
2412	"ENSG00000111642.16"	"CHD4"	chr12	-	6578028	6578546	6578028	6578137	6578408	6578546	2412	7,16,14	570,1151,819	6,21,2	380,1348,412	298	149	1	1.0	0.006,0.007,0.008	0.008,0.008,0.002	0.001
2413	"ENSG00000111642.16"	"CHD4"	chr12	-	6583026	6583378	6583026	6583113	6583195	6583378	2413	20,41,19	0,2,0	4,19,27	0,9,0	231	149	0.00735917970413	0.04660813812615667	1.0,0.93,1.0	1.0,0.577,1.0	0.118
2414	"ENSG00000111642.16"	"CHD4"	chr12	-	6583026	6583378	6583026	6583113	6583197	6583378	2414	23,51,27	455,874,331	6,24,32	253,869,295	233	149	0.090047674185	0.3169868800112007	0.031,0.036,0.05	0.015,0.017,0.065	0.007
2416	"ENSG00000111642.16"	"CHD4"	chr12	-	6587383	6587949	6587383	6587559	6587711	6587949	2416	3,6,0	820,1359,511	0,0,6	437,1595,532	298	149	1	1.0	0.002,0.002,0.0	0.0,0.0,0.006	-0.001
2420	"ENSG00000090097.22"	"PCBP4"	chr3	-	51959894	51960320	51959894	51960023	51960188	51960320	2420	6,6,36	133,117,379	4,2,11	39,102,264	298	149	0.0268163663686	0.1270477461051224	0.022,0.025,0.045	0.049,0.01,0.02	0.004
2421	"ENSG00000090097.22"	"PCBP4"	chr3	-	51960525	51960898	51960525	51960637	51960865	51960898	2421	8,11,36	2,16,23	9,8,10	8,12,7	298	149	0.45444443855	0.9922356986530604	0.667,0.256,0.439	0.36,0.25,0.417	0.112
2422	"ENSG00000090097.22"	"PCBP4"	chr3	-	51960525	51960898	51960525	51960642	51960865	51960898	2422	8,11,36	107,79,306	9,8,10	33,60,166	298	149	0.758402694102	1.0	0.036,0.065,0.056	0.12,0.062,0.029	-0.018
2423	"ENSG00000291006.1"	"ENSG00000291006"	chr6	+	52666388	52669155	52666388	52666518	52666748	52669155	2423	5,50,22	8,31,15	3,13,14	3,20,6	298	149	0.60134566342	1.0	0.238,0.446,0.423	0.333,0.245,0.538	-0.003
2424	"ENSG00000106976.22"	"DNM1"	chr9	+	128247923	128248753	128247923	128247935	128248582	128248753	2424	4,4,2	529,165,24	4,8,0	278,274,9	298	149	1	1.0	0.004,0.012,0.04	0.007,0.014,0.0	0.012
2425	"ENSG00000080815.20"	"PSEN1"	chr14	+	73206385	73211942	73206385	73206472	73211768	73211942	2425	0,4,0	414,281,97	1,3,2	262,446,204	298	149	1	1.0	0.0,0.007,0.0	0.002,0.003,0.005	-0.001
2429	"ENSG00000168944.17"	"CEP120"	chr5	-	123389923	123391337	123389923	123390005	123391109	123391337	2429	90,67,5	8,7,0	25,45,67	4,6,9	298	149	0.266170384639	0.6976124556195933	0.849,0.827,1.0	0.758,0.789,0.788	0.114
2430	"ENSG00000168944.17"	"CEP120"	chr5	-	123389923	123391337	123389923	123390140	123391109	123391337	2430	4,10,0	118,112,9	2,0,1	38,48,109	298	149	0.0277992184381	0.1304194061450112	0.017,0.043,0.0	0.026,0.0,0.005	0.01
2432	"ENSG00000173575.24"	"CHD2"	chr15	+	92942842	92945865	92942842	92943068	92945820	92945865	2432	0,2,0	1,4,0	0,2,0	0,0,0	298	149	1	1.0	0.0,0.2,NA	NA,1.0,NA	-0.9
2434	"ENSG00000173575.24"	"CHD2"	chr15	+	93014695	93014909	93014695	93014726	93014815	93014909	2434	314,362,66	2,3,2	162,503,310	2,2,0	238	149	0.680216142553	1.0	0.99,0.987,0.954	0.981,0.994,1.0	-0.015
2435	"ENSG00000197081.16"	"IGF2R"	chr6	+	160088032	160089253	160088032	160088147	160089106	160089253	2435	2,13,0	168,163,210	2,3,0	117,366,352	298	149	0.73443905063	1.0	0.006,0.038,0.0	0.008,0.004,0.0	0.011
2436	"ENSG00000177337.10"	"DLGAP1-AS1"	chr18	+	3596578	3597372	3596578	3596675	3597175	3597372	2436	224,87,18	58,19,27	216,421,43	92,126,23	298	149	0.80018715445	1.0	0.659,0.696,0.25	0.54,0.626,0.483	-0.015
2437	"ENSG00000070756.17"	"PABPC1"	chr8	-	100712651	100713181	100712651	100712789	100713086	100713181	2437	14,17,3	7497,11269,4166	2,2,1	13747,16911,11754	298	149	1	1.0	0.001,0.001,0.0	0.0,0.0,0.0	0.001
2438	"ENSG00000070756.17"	"PABPC1"	chr8	-	100717772	100718280	100717772	100717888	100718086	100718280	2438	164,215,138	4061,5525,1747	136,35,38	6601,8077,6374	298	149	0	0.0	0.02,0.019,0.038	0.01,0.002,0.003	0.021
2439	"ENSG00000070756.17"	"PABPC1"	chr8	-	100717772	100718280	100717772	100717888	100718182	100718280	2439	2729,3710,1170	35,37,19	3981,4809,3985	98,12,25	298	149	0.372377407502	0.8741549385719715	0.975,0.98,0.969	0.953,0.995,0.988	-0.004
2440	"ENSG00000070756.17"	"PABPC1"	chr8	-	100717772	100718280	100717772	100717888	100718230	100718280	2440	3303,4575,1463	6,10,2	4743,5862,4811	12,2,9	298	149	1	1.0	0.996,0.996,0.997	0.995,0.999,0.996	-0.0
2441	"ENSG00000070756.17"	"PABPC1"	chr8	-	100721390	100722087	100721390	100721452	100721728	100722087	2441	5688,7592,2496	4,0,0	8094,9532,8421	0,0,0	298	149	1	1.0	0.999,1.0,1.0	1.0,1.0,1.0	-0.0
2442	"ENSG00000070756.17"	"PABPC1"	chr8	-	100721390	100721886	100721390	100721619	100721733	100721886	2442	4052,5600,1896	9,2,9	5874,7406,6364	35,2,18	263	149	1	1.0	0.996,0.999,0.992	0.99,1.0,0.995	0.001
2445	"ENSG00000224032.9"	"EPB41L4A-AS1"	chr5	+	112161702	112162315	112161702	112161775	112162150	112162315	2445	26,12,28	157,285,327	24,16,11	2098,1052,1745	298	149	7.77156117238e-16	8.882651558743703e-14	0.076,0.021,0.041	0.006,0.008,0.003	0.04
2447	"ENSG00000182504.12"	"CEP97"	chr3	+	101757062	101758423	101757062	101757196	101757633	101758423	2447	5,1,0	25,18,2	1,2,0	7,15,20	298	149	0.229859093607	0.6303867824778223	0.091,0.027,0.0	0.067,0.062,0.0	-0.004
2448	"ENSG00000182504.12"	"CEP97"	chr3	+	101757062	101758423	101757062	101757196	101757810	101758423	2448	24,17,4	6,4,1	12,9,22	0,0,0	298	149	1.51715080277e-07	4.9106009390542255e-06	0.667,0.68,0.667	1.0,1.0,1.0	-0.329
2449	"ENSG00000123349.15"	"PFDN5"	chr12	+	53295838	53296275	53295838	53295941	53296218	53296275	2449	171,96,184	6,3,0	181,321,153	45,35,44	298	149	3.33066907388e-14	3.337512914442767e-12	0.934,0.941,1.0	0.668,0.821,0.635	0.25
2450	"ENSG00000288663.1"	"ENSG00000288663"	chr12	+	53295838	53296275	53295838	53295941	53296243	53296275	2450	179,102,195	2686,2335,3612	199,362,169	6502,5872,5225	298	149	0.00370986547532	0.027411783789864443	0.032,0.021,0.026	0.015,0.03,0.016	0.006
2451	"ENSG00000288663.1"	"ENSG00000288663"	chr12	+	53303033	53306861	53303033	53303193	53306679	53306861	2451	19,16,10	3,0,2	6,8,5	0,0,2	298	149	0.0791858216956	0.28846826977256673	0.76,1.0,0.714	1.0,1.0,0.556	-0.027
2459	"ENSG00000205084.12"	"TMEM231"	chr16	-	75555803	75556238	75555803	75555973	75556070	75556238	2459	3,1,9	34,17,2	2,6,16	12,19,29	246	149	0.597187377728	1.0	0.051,0.034,0.732	0.092,0.161,0.25	0.105
2462	"ENSG00000174243.11"	"DDX23"	chr12	-	48831141	48832186	48831141	48831316	48832077	48832186	2462	16,26,13	504,313,368	9,19,2	168,222,147	298	149	0.718947089544	1.0	0.016,0.04,0.017	0.026,0.041,0.007	-0.0
2463	"ENSG00000174243.11"	"DDX23"	chr12	-	48836568	48837037	48836568	48836794	48836893	48837037	2463	4,6,1	589,388,222	6,7,2	134,182,165	248	149	0.241479532495	0.6519883751060498	0.004,0.009,0.003	0.026,0.023,0.007	-0.013
2464	"ENSG00000174243.11"	"DDX23"	chr12	-	48837280	48837657	48837280	48837393	48837523	48837657	2464	35,24,13	692,375,238	29,19,6	182,211,192	279	149	0.0211238601045	0.10533131333634457	0.026,0.033,0.028	0.078,0.046,0.016	-0.018
2465	"ENSG00000174243.11"	"DDX23"	chr12	-	48837523	48838080	48837523	48837657	48837941	48838080	2465	49,62,16	826,550,316	40,62,25	229,270,184	298	149	1.96463418867e-08	7.896318181385193e-07	0.029,0.053,0.025	0.08,0.103,0.064	-0.047
2466	"ENSG00000178719.17"	"GRINA"	chr8	+	143991691	143992373	143991691	143991804	143991877	143992373	2466	32,22,31	1345,779,2122	33,54,50	1480,2192,2267	222	149	0.439133723089	0.9713526411841653	0.016,0.019,0.01	0.015,0.016,0.015	-0.0
2467	"ENSG00000178719.17"	"GRINA"	chr8	+	143991691	143992373	143991691	143991804	143992244	143992373	2467	72,52,158	0,0,0	76,162,79	0,0,4	298	149	0.793752204182	1.0	1.0,1.0,1.0	1.0,1.0,0.908	0.031
2468	"ENSG00000178719.17"	"GRINA"	chr8	+	143991877	143992373	143991877	143991949	143992244	143992373	2468	1496,862,2610	5,0,0	1657,2621,2507	4,2,1	298	149	1	1.0	0.993,1.0,1.0	0.995,0.998,0.999	0.0
2469	"ENSG00000178719.17"	"GRINA"	chr8	+	143991877	143992373	143991877	143992078	143992244	143992373	2469	114,96,268	1373,775,2341	131,322,151	1523,2046,2418	298	149	0.49095049944	1.0	0.04,0.058,0.054	0.041,0.073,0.03	0.003
2470	"ENSG00000173531.16"	"MST1"	chr3	-	49686061	49686481	49686061	49686192	49686312	49686481	2470	3,4,7	0,0,0	13,49,18	0,8,0	269	149	0.0005653964368	0.005940749481949038	1.0,1.0,1.0	1.0,0.772,1.0	0.076
2471	"ENSG00000173531.16"	"MST1"	chr3	-	49687148	49687478	49687148	49687285	49687363	49687478	2471	3,7,3	2,11,9	10,7,12	52,116,42	227	149	0.0128476277382	0.07229261300379462	0.496,0.295,0.18	0.112,0.038,0.158	0.221
2473	"ENSG00000173531.16"	"MST1"	chr3	-	49687148	49687668	49687148	49687478	49687555	49687668	2473	3,0,4	4,5,5	0,8,11	78,152,42	226	149	0.043340390751	0.1828344627125519	0.331,0.0,0.345	0.0,0.034,0.147	0.165
2474	"ENSG00000183401.12"	"CCDC159"	chr19	+	11353450	11353874	11353450	11353572	11353791	11353874	2474	49,10,82	18,7,40	81,87,79	35,42,43	298	149	0.839087256545	1.0	0.576,0.417,0.506	0.536,0.509,0.479	-0.008
2476	"ENSG00000047410.14"	"TPR"	chr1	-	186341251	186343473	186341251	186341389	186343325	186343473	2476	3,2,1	333,386,42	0,0,2	145,257,137	298	149	1	1.0	0.004,0.003,0.012	0.0,0.0,0.007	0.004
2477	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91312413	91310626	91311032	91312294	91312413	2477	83,0,31	28,0,18	2,4,16	2,0,2	298	149	1	1.0	0.597,NA,0.463	0.333,1.0,0.8	-0.181
2478	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91311645	91312413	91311645	91311737	91312294	91312413	2478	81,0,13	0,0,0	8,4,18	0,0,1	298	149	1	1.0	1.0,NA,1.0	1.0,1.0,0.9	0.033
2479	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312413	91313077	91313229	2479	78,1,43	52,0,26	6,0,6	2,0,2	298	149	1	1.0	0.429,1.0,0.453	0.6,NA,0.6	0.027
2480	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91310626	91313229	91310626	91312495	91313077	91313229	2480	79,1,36	19,0,15	2,0,6	0,2,4	298	149	0.241368544701	0.6519883751060498	0.675,1.0,0.545	1.0,0.0,0.429	0.264
2482	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314386	91314079	91314244	91314331	91314386	2482	185,0,90	34,0,16	24,4,40	3,0,6	236	149	1	1.0	0.775,NA,0.78	0.835,1.0,0.808	-0.103
2483	"ENSG00000248323.8"	"LUCAT1"	chr5	-	91314079	91314402	91314079	91314247	91314331	91314402	2483	177,0,88	29,0,11	22,3,40	2,0,7	233	149	1	1.0	0.796,NA,0.836	0.876,1.0,0.785	-0.071
2485	"ENSG00000113522.14"	"RAD50"	chr5	+	132579316	132580066	132579316	132579502	132579861	132580066	2485	3,0,3	313,40,19	8,2,4	143,27,163	298	149	0.171515268942	0.5079490657128461	0.005,0.0,0.073	0.027,0.036,0.012	0.001
2486	"ENSG00000124564.17"	"SLC17A3"	chr6	-	25850047	25850877	25850047	25850177	25850758	25850877	2486	6,0,0	0,0,0	3,2,0	11,0,0	298	149	1	1.0	1.0,NA,NA	0.12,1.0,NA	0.44
2487	"ENSG00000186468.13"	"RPS23"	chr5	-	82275208	82276255	82275208	82275295	82276177	82276255	2487	10988,12028,12995	0,4,0	33016,20854,17066	4,10,4	298	149	1	1.0	1.0,0.999,1.0	1.0,0.999,1.0	0.0
2489	"ENSG00000168002.12"	"POLR2G"	chr11	+	62761794	62762866	62761794	62761904	62762541	62762866	2489	43,67,16	6,19,48	19,36,21	10,8,16	298	149	0.851789102308	1.0	0.782,0.638,0.143	0.487,0.692,0.396	-0.004
2491	"ENSG00000071082.11"	"RPL31"	chr2	+	101002292	101002808	101002292	101002315	101002701	101002808	2491	73,100,83	5481,5113,5221	44,223,152	15769,12475,9513	298	149	1	1.0	0.007,0.01,0.008	0.001,0.009,0.008	0.002
2492	"ENSG00000163050.18"	"COQ8A"	chr1	+	226982026	226982763	226982026	226982149	226982677	226982763	2492	10,17,17	84,131,40	10,9,0	43,118,55	298	149	0.0132888898147	0.0741481533139058	0.056,0.061,0.175	0.104,0.037,0.0	0.05
2493	"ENSG00000163050.18"	"COQ8A"	chr1	+	226983760	226984235	226983760	226983854	226984093	226984235	2493	9,16,10	51,92,60	3,15,7	36,94,33	298	149	0.614439914038	1.0	0.081,0.08,0.077	0.04,0.074,0.096	0.009
2494	"ENSG00000122008.16"	"POLK"	chr5	+	75597746	75598040	75597746	75597789	75597933	75598040	2494	2,0,0	105,52,45	2,0,2	85,63,108	293	149	1	1.0	0.01,0.0,0.0	0.012,0.0,0.009	-0.004
2495	"ENSG00000145741.17"	"BTF3"	chr5	+	73502487	73503117	73502487	73502601	73502915	73503117	2495	332,271,364	12079,8085,9549	376,339,390	22488,12132,13478	298	149	0.00356183721698	0.026586570655315	0.014,0.016,0.019	0.008,0.014,0.014	0.004
2497	"ENSG00000124782.21"	"RREB1"	chr6	+	7181123	7182082	7181123	7181246	7181869	7182082	2497	3,2,1	14,32,0	0,2,1	5,25,11	298	149	0.646403958933	1.0	0.097,0.03,1.0	0.0,0.038,0.043	0.349
2500	"ENSG00000140525.20"	"FANCI"	chr15	+	89281764	89283250	89281764	89281835	89283135	89283250	2500	62,44,23	219,112,35	2,4,4	5,4,5	298	149	0.521772711959	1.0	0.124,0.164,0.247	0.167,0.333,0.286	-0.084
2501	"ENSG00000183474.16"	"GTF2H2C"	chr5	+	69578711	69579108	69578711	69578802	69579020	69579108	2501	3,12,2	73,74,20	0,2,0	22,32,11	298	149	0.00417621662802	0.029833031869107712	0.02,0.075,0.048	0.0,0.03,0.0	0.038
2504	"ENSG00000183323.13"	"CCDC125"	chr5	-	69320236	69320580	69320236	69320345	69320464	69320580	2504	59,0,14	18,0,0	21,0,17	6,0,1	268	149	1	1.0	0.646,NA,1.0	0.661,NA,0.904	0.04
2507	"ENSG00000120708.17"	"TGFBI"	chr5	+	136046334	136047015	136046334	136046495	136046850	136047015	2507	493,13,366	7035,216,6322	538,56,1124	4063,245,15069	298	149	1.53938901182e-07	4.935285983007293e-06	0.034,0.029,0.028	0.062,0.103,0.036	-0.037
2508	"ENSG00000120708.17"	"TGFBI"	chr5	+	136046334	136047015	136046334	136046556	136046850	136047015	2508	533,12,396	0,2,0	568,58,1174	6,0,12	298	149	0.276549697275	0.7145747211468121	1.0,0.75,1.0	0.979,1.0,0.98	-0.07
